Namn;Ägartyp;Antal P-platser;Avgiftsbelagd tid - vardag;Avgiftsbelagd tid - vardag före helg;Avgiftsbelagd tid - helg;Taxa - avgiftsbelagd tid;Taxa - övrig tid;Tele P nr;EasyPark nr;Status;geo_shape;geo_point_2d
Sundstorgsgaraget -2;hbg;197;8:00-18:00;(8:00-15:00);;15;5;9511;4102;aktiv;"{""type"": ""Point"", ""coordinates"": [12.690417557129162, 56.047885177936934]}";56.0478851779,12.6904175571
Småbåtshamnen;hbg;54;8:00-20:00;(8:00-15:00);;5;;;;bortpl;"{""type"": ""Point"", ""coordinates"": [12.684822736553448, 56.04809053881372]}";56.0480905388,12.6848227366
Olympiaskolan;hbg;63;7:00-18:00;;;5;;9560;4061;aktiv;"{""type"": ""Point"", ""coordinates"": [12.707409835358254, 56.04863849165398]}";56.0486384917,12.7074098354
Gustav Adolfs gata;hbg;16;9:00-18:00;(9:00-15:00);;5;;9533;4033;avstangd;"{""type"": ""Point"", ""coordinates"": [12.707666225043488, 56.03846546848223]}";56.0384654685,12.707666225
Karlsgatan;hbg;8;9:00-18:00;(9:00-15:00);;10;;9544;4045;aktiv;"{""type"": ""Point"", ""coordinates"": [12.697708007618916, 56.0449592669051]}";56.0449592669,12.6977080076
Ångfärjestationen;hbg;;9:00-18:00;(9:00-15:00);;15;;9590;4091;bortpl;"{""type"": ""Point"", ""coordinates"": [12.689799927663518, 56.046181875933506]}";56.0461818759,12.6897999277
Trädgårdsgatan;hbg;23;9:00-18:00;(9:00-15:00);;10;;9582;4083;aktiv;"{""type"": ""Point"", ""coordinates"": [12.697894058566728, 56.04319421454948]}";56.0431942145,12.6978940586
Norra Kyrkogatan;hbg;8;9:00-18:00;(9:00-15:00);;10;;9593;4093;aktiv;"{""type"": ""Point"", ""coordinates"": [12.694343124664208, 56.04608811411499]}";56.0460881141,12.6943431247
Oceangatan;hbg;62;9:00-18:00;(9:00-15:00);;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.696772304385584, 56.03945733560244]}";56.0394573356,12.6967723044
Roskildegatan;hbg;8;9:00-18:00;(9:00-15:00);;15;;9599;4101;aktiv;"{""type"": ""Point"", ""coordinates"": [12.688988756114119, 56.04909573532495]}";56.0490957353,12.6889887561
Fria bad;hbg;35;9:00-18:00;(9:00-15:00);;5;;9525;4025;aktiv;"{""type"": ""Point"", ""coordinates"": [12.683000429554447, 56.05711755095638]}";56.057117551,12.6830004296
Gasverksgatan;hbg;11;9:00-18:00;(9:00-15:00);;5;;9531;4031;aktiv;"{""type"": ""Point"", ""coordinates"": [12.710304413243232, 56.039544945376164]}";56.0395449454,12.7103044132
Ishallen;hbg;59;8:00-22:00;(8:00-22:00);8:00-22:00;5;;9540;4040;aktiv;"{""type"": ""Point"", ""coordinates"": [12.704582210862709, 56.053651552738806]}";56.0536515527,12.7045822109
Wieselgrensgatan;hbg;12;9:00-18:00;(9:00-15:00);;5;;9587;4088;aktiv;"{""type"": ""Point"", ""coordinates"": [12.705650054027114, 56.041569144177906]}";56.0415691442,12.705650054
Gasverksgatan;hbg;9;9:00-18:00;(9:00-15:00);;10;;9528;4028;aktiv;"{""type"": ""Point"", ""coordinates"": [12.70263052190107, 56.04113670356143]}";56.0411367036,12.7026305219
Småbåtshamnen;hbg;84;8:00-20:00;(8:00-15:00);;5;;9570;4071;aktiv;"{""type"": ""Point"", ""coordinates"": [12.685619262903707, 56.04682067153468]}";56.0468206715,12.6856192629
Pålsgatan;hbg;13;9:00-18:00;(9:00-15:00);;5;;9567;4068;aktiv;"{""type"": ""Point"", ""coordinates"": [12.689414764698807, 56.051129421012064]}";56.051129421,12.6894147647
Gustav Adolfs gata;hbg;8;9:00-18:00;(9:00-15:00);;5;;9534;4034;aktiv;"{""type"": ""Point"", ""coordinates"": [12.70574984037213, 56.04007337764449]}";56.0400733776,12.7057498404
Fågelsångsgatan;hbg;13;9:00-18:00;(9:00-15:00);;10;;9526;4026;aktiv;"{""type"": ""Point"", ""coordinates"": [12.691964177087234, 56.05010149713204]}";56.0501014971,12.6919641771
Tullaregatan;hbg;18;9:00-22:00;(9:00-22:00);9:00-22:00;15;;;4075;aktiv;"{""type"": ""Point"", ""coordinates"": [12.688328493857306, 56.04815584223496]}";56.0481558422,12.6883284939
Drottninggatan ös;hbg;23;9:00-18:00;(9:00-15:00);;5;;9522;4020;aktiv;"{""type"": ""Point"", ""coordinates"": [12.688177908014302, 56.05144186280338]}";56.0514418628,12.688177908
Norrbroplatsen;hbg;17;9:00-18:00;(9:00-15:00);;5;;9559;4060;aktiv;"{""type"": ""Point"", ""coordinates"": [12.70174277440463, 56.05628807165991]}";56.0562880717,12.7017427744
Glasbruket;hbg;142;9:00-20:00;(9:00-15:00);;10;;9532;4032;aktiv;"{""type"": ""Point"", ""coordinates"": [12.700774735757598, 56.03922209424354]}";56.0392220942,12.7007747358
Furutorpsgatan;hbg;5;9:00-18:00;(9:00-15:00);;5;;9596;4096;aktiv;"{""type"": ""Point"", ""coordinates"": [12.70360178208442, 56.036969576864905]}";56.0369695769,12.7036017821
Akuten;hbg;;0:00-24:00;(0:00-24:00);0:00-24:00;10;;;;bortpl;"{""type"": ""Point"", ""coordinates"": [12.705091675909138, 56.04509670583956]}";56.0450967058,12.7050916759
Hantverkaregatan;hbg;19;9:00-18:00;(9:00-15:00);;5;;9538;4038;aktiv;"{""type"": ""Point"", ""coordinates"": [12.70445073286024, 56.03899220847703]}";56.0389922085,12.7044507329
Bergaliden (övre maskin);hbg;8;9:00-18:00;(9:00-15:00);;5;;9502;4002;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701773817130062, 56.045493983806416]}";56.0454939838,12.7017738171
Idrottens hus;hbg;128;8:00-22:00;(8:00-22:00);8:00-22:00;5;;9540;4040;aktiv;"{""type"": ""Point"", ""coordinates"": [12.705271589562717, 56.05200177121582]}";56.0520017712,12.7052715896
S:t Jörgens plats;hbg;16;9:00-18:00;(9:00-15:00);;10;;9569;4070;aktiv;"{""type"": ""Point"", ""coordinates"": [12.690746887611592, 56.050332180332575]}";56.0503321803,12.6907468876
Fredriksdal;hbg;;9:00-22:00;9:00-22:00;9:00-22:00;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.708471623688823, 56.05720250672479]}";56.0572025067,12.7084716237
Nedre Långvinkelsgatan;hbg;4;9:00-18:00;(9:00-15:00);;10;;9594;4094;aktiv;"{""type"": ""Point"", ""coordinates"": [12.693977512314616, 56.048848767735706]}";56.0488487677,12.6939775123
Hantverkargatan;hbg;6;9:00-18:00;(9:00-15:00);;5;;9538;4038;aktiv;"{""type"": ""Point"", ""coordinates"": [12.703544837733874, 56.040092513692585]}";56.0400925137,12.7035448377
GA torg;hbg;;9:00-20:00;(9:00-15:00);;10;;9527;4027;aktiv;"{""type"": ""Point"", ""coordinates"": [12.702357072448935, 56.037827517790994]}";56.0378275178,12.7023570724
