KATEGORI;NAMN;ADRESS;HEMSIDA;Kategori webb;Exportdatum;geo_shape;geo_point_2d
Skolrestauranger;Montessoriskolan Kärnhuset;Starkoddersgatan 8;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.73523406204061, 56.006174985719554]}";56.0061749857,12.735234062
Skolrestauranger;Musikantens Förskola;Porlagången 29;https://musikantensforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.739520023113982, 56.02084486262749]}";56.0208448626,12.7395200231
Skolrestauranger;Möllevångens Montessoriförskola;Hjälmshultsgatan 6;http://mollevangensmontessori.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.696608770715086, 56.05564690288816]}";56.0556469029,12.6966087707
Skolrestauranger;Nicandersgatans Förskola;Nicandersgatan 12A;https://nicandersgatansforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.689552877162084, 56.055439183671254]}";56.0554391837,12.6895528772
Skolrestauranger;Nicolaiskolan;Munkavägen 9;https://nicolaiskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.709227559850243, 56.04640537444536]}";56.0464053744,12.7092275599
Skolrestauranger;Nyponrosens Förskola;Wienergatan 1C;https://nyponrosensforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.71059307991559, 56.02781618109576]}";56.0278161811,12.7105930799
Skolrestauranger;Olympiaskolan;Södra Stenbocksgatan 75;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.707734697776493, 56.0484300785391]}";56.0484300785,12.7077346978
Skolrestauranger;Pingvinens Förskola;Furutorpsgatan 81;http://www.pingvinenhbg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.7160858651436, 56.040228141222336]}";56.0402281412,12.7160858651
Skolrestauranger;Raus Planterings Skola;Östra Tallgatan 10;https://rausplanteringsskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.71036972342602, 56.02465275923929]}";56.0246527592,12.7103697234
Skolrestauranger;Ringstorpsskolan;Ryttmästaregatan 2;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.702483418685256, 56.06479115838589]}";56.0647911584,12.7024834187
Skolrestauranger;Ruth Förskola Fredriksdal;Vaktgatan 3A;http://ruthforskola.hemsida24.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.715260929290125, 56.06201975784775]}";56.0620197578,12.7152609293
Skolrestauranger;S:t Clemens Förskola;Koralgatan 30;http://stclemensforskola.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.711675419466534, 56.044141954067655]}";56.0441419541,12.7116754195
Skolrestauranger;S:t Jörgens Skola Pålsgatan;Pålsgatan 8;https://stjorgensskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.68948051655428, 56.05210791454102]}";56.0521079145,12.6894805166
Skolrestauranger;Sally Bauerskolans Högstadium;Brytstugevägen 2;http://www.sallybauer.com/hogstadiet.html;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.729816579372997, 56.05360862188248]}";56.0536086219,12.7298165794
Skolrestauranger;Slottsvångsskolan;Bergaliden 24;https://slottsvangsskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.701267333705008, 56.048995034086204]}";56.0489950341,12.7012673337
